Fee-Earnings reports from 10-01-2025 to 12-12-2025
ストア,商品名,ASIN,出品者,トラッキングID,発送日,価格,発送済み商品,返品済み商品,売上,紹介料率,紹介料,デバイスの種類
食品&飲料、グルメ,おつまみのチャーム屋 ピュアレ 元祖ティラミスチョコ 80g,B0DT4CSMQ5,3rd Party,daily-gadget-22,2025-12-12 00:00:00,630.00,1,0,630.0,7.94,50.00,PHONE
食品&飲料、グルメ,おつまみのチャーム屋 わかめ白雪 100g,B0DTHLSCY7,3rd Party,daily-gadget-22,2025-12-12 00:00:00,537.00,1,0,537.0,8.01,43.00,PHONE
ビューティー&グルーミング,ドクターブロナー マジックソープ CI(シトラスオレンジ) 473ml フレッシュな柑橘の香り 植物オイル マルチオーガニックソープ,B07PNGNPWT,Amazon.co.jp,daily-gadget-22,2025-12-12 00:00:00,2000.00,1,0,2000.0,5.00,100.00,PHONE
食品&飲料、グルメ,[ つまみ蔵 公式 ] スルメジャーキー イカジャーキー 180g (いかみみ と 胴体 食べやすい スルメスティック に) おつまみ イカ するめ 業務用 大容量 お菓子 駄菓子 珍味 酒のつまみ 酒の肴 | 千成商会,B0BJ1VPYH6,3rd Party,daily-gadget-22,2025-12-12 00:00:00,1185.00,1,0,1185.0,8.02,95.00,PHONE
電子部品&ホームオーディオ,UGREEN Revodok Pro 9-in-1 USB-Cハブ 10Gbpsデータ転送対応 4K HDMI・ギガビットLAN・PD100W・SD/TFカードリーダー搭載 MacBook/iPad/Surfaceなど対応,B0DY15GFNG,3rd Party,daily-gadget-22,2025-12-11 00:00:00,4454.00,1,0,4454.0,2.00,89.00,PHONE
カメラ、写真&ビデオ,DJI Mic Mini（2 TX + 1 RX + 充電ケース） ピンマイク ワイヤレス 超軽量 48時間使用 ノイズキャンセリング 自動制限機能 カメラ／iPhone／Android用ワイヤレスマイク Vlog撮影 ストリーミング,B0DDL8WGH5,Amazon.co.jp,daily-gadget-22,2025-12-09 00:00:00,15000.00,1,0,15000.0,2.00,300.00,DESKTOP
書籍&テキスト,【司法書士試験対策】山本浩司のオートマシステム 1 民法Ⅰ ＜第14版＞【基本書/短期合格のためのテキスト/過去問織り込み】（早稲田経営出版） (オートマシリーズ),4847153014,Amazon.co.jp,daily-gadget-22,2025-12-06 00:00:00,2400.00,1,0,2400.0,3.00,72.00,DESKTOP
書籍&テキスト,司法書士 山本浩司のautoma system 新・でるトコ一問一答+要点整理 (1) 民法 第6版 [令和5年4月1日施行 所有者不明土地に関連する法改正に対応](早稲田経営出版) (オートマシリーズ),4847151518,Amazon.co.jp,daily-gadget-22,2025-12-06 00:00:00,2900.00,1,0,2900.0,3.00,87.00,DESKTOP
書籍&テキスト,【司法書士試験対策】山本浩司のオートマシステム 2 民法Ⅱ ＜第14版＞【基本書/短期合格のためのテキスト/過去問織り込み】（早稲田経営出版） (オートマシリーズ),4847153022,Amazon.co.jp,daily-gadget-22,2025-12-06 00:00:00,2400.00,1,0,2400.0,3.00,72.00,DESKTOP
書籍&テキスト,【司法書士試験対策】山本浩司のオートマシステム 3 民法Ⅲ ＜第14版＞【基本書/短期合格のためのテキスト/過去問織り込み】（早稲田経営出版） (オートマシリーズ),4847153030,Amazon.co.jp,daily-gadget-22,2025-12-06 00:00:00,3100.00,1,0,3100.0,3.00,93.00,DESKTOP
服&ファッション小物,[グンゼ] ニットトランクス やわらか肌着 綿100% 抗菌防臭加工 前あき SV61912/G,B00BEB6SPA,Amazon.co.jp,daily-gadget-22,2025-12-06 00:00:00,1026.00,1,0,1026.0,7.99,82.00,PHONE
電子部品&ホームオーディオ,エレコム 充電器 Type-C 3ポート USB-C×1 USB-A×2 32W USB PD対応 折りたたみ式プラグ GaN採用 【 iPhone 16 15 iPad Macbook Air など対応】 ホワイト EC-AC4032WH,B0C8HPQ97H,Amazon.co.jp,daily-gadget-22,2025-12-05 00:00:00,1900.00,1,0,1900.0,2.00,38.00,DESKTOP
コンピュータ、タブレット、コンポーネント,【Amazon.co.jp限定】Tapo スマートホーム 赤外線 スマートハブ エアコン テレビ リモコン チャイム機能つき Sub-1GHz 簡易パッケージ メーカー保証3年 Tapo H110C,B0F1S6XSL6,Amazon.co.jp,daily-gadget-22,2025-12-02 00:00:00,2527.00,1,0,2527.0,2.02,51.00,DESKTOP
電子部品&ホームオーディオ,JOTO ケーブル収納スリーブ 長さ約8M 直径1.3cm DIY切断可能 PET素材、家庭用/オフィス用 -ブラック,B088K4TYP4,3rd Party,daily-gadget-22,2025-11-23 00:00:00,1545.00,1,0,1545.0,2.01,31.00,PHONE
ホーム,山崎実業(Yamazaki) デスク下 天板ケーブルラック ロング ブラック 約W63.5×D12×H17cm タワー tower ケーブル 電源タップ 収納 ネジで固定 カバー付き 4479,B0CBLVSC3Q,Amazon.co.jp,daily-gadget-22,2025-11-23 00:00:00,4323.00,1,0,4323.0,3.01,130.00,PHONE
